,Authors,Affiliation
85,"Joseph,Boney","Mayo Clinic, Rochester, MN, USA"
86,"Kameneva,Tatiana","University of Melbourne, Melbourne, VIC, Australia"
87,"Karoly,Philippa J.","University of Melbourne, Melbourne, VIC, Australia"
88,"Khan,Bilal Muhammad","Electronics & Power Engineering, Pakistan"
89,"King-Stephens,David","California Pacific Medical Center, SF, CA, USA"
90,"Kleen,Jonathan K.","University of California (SF), CA, USA"
91,"Klimes,Petr","Mayo Clinic, Rochester, MN, USA"
92,"Kockler,Michael","Jena University Hospital, Jena, Germany"
93,"Korshunova,Iryna","Ghent University, Ghent, Belgium"
94,"Kremen,Vaclav","Mayo Clinic, Rochester, MN, USA"
95,"Kuhlmann,Levin","University of Melbourne, Melbourne, VIC, Australia"
96,"Lai,A.","University of Melbourne, Melbourne, VIC, Australia"
97,"Lambert,Elisabeth","Swinburne University of Technology, VIC, Australia"
98,"Lang,Alexandra","University of Nottingham Innovation Park, Nottingham, UK"
99,"Lang,Brian W.","Arete Associates, VA, USA"
100,"Lavery,Daniel","Arete Associates, VA, USA"
101,"Leguia,Marc G","University of Bern, Bern, Switzerland"
102,"Leyde,Kent","NeuroVista, Seattle, WA, USA"
103,"Li,Feng","Minnesota, USA"
104,"Lightfoot,Paul","Austin Health, Heidelberg, VIC, Australia"
105,"Liley,David T. J.","Swinburne University of Technology, VIC, Australia"
106,"Lipton,Richard B.","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
107,"Litewka,Lucas","St. Vincent's Hospital, Melbourne, VIC, Australia"
108,"Litt,Brian","University of Pennsylvania, PA, USA"
109,"Loddenkemper,Tobias","Boston Children’s Hospital, Boston, MA, USA"
110,"Maiwald,T.","University of Freiburg, Freiburg, Germany"
111,"Martins da Silva,Antonio","Hospital Santo António, Porto, Portugal"
112,"Masur,Jonathan","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
113,"Maturana,Matias I.","University of Melbourne, Melbourne, VIC, Australia"
114,"Mavoori,Jaideep","NeuroVista, Seattle, WA, USA"
115,"McCutcheon,K.","Seer Medical, Melbourne, VIC, Australia"
116,"McGinley,James S.","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
117,"McLean,K. J.","St. Vincent's Hospital, Melbourne, VIC, Australia"
118,"Meisel,Christian","Boston Children’s Hospital, Boston, MA, USA"
119,"Mirro, Emily A.","NeuroPace, Inc., Mountain View, CA, USA"
120,"Morineaux,T.","Université Catholique de Louvain, France"
121,"Morokoff,Andrew","University of Melbourne, Melbourne, VIC, Australia"
122,"Moss,Chuck","Seizure Tracker TM LLC, Annandale, VA, USA"
123,"Moss,Robert E.","Seizure Tracker TM LLC, Annandale, VA, USA"
124,"Murphy,Michael","University of Melbourne, Melbourne, VIC, Australia"
125,"Munoz-Almaraz,F. J.","CEU Cardenal Herrera University, Valencia, Spain"
126,"Mutarana, M. I.","University of Melbourne, Melbourne, VIC, Australia"
127,"Nasseri,Mona","Mayo Clinic, Rochester, MN, USA"
128,"Neal,Andrew","St. Vincent's Hospital, Melbourne, VIC, Australia"
129,"Nejedly,Petr","Mayo Clinic, Rochester, MN, USA"
130,"Nurse,Ewan S.","University of Melbourne, Melbourne, VIC, Australia"
131,"Nahlik,Michal","Prague, Czech Republic"
132,"O'Brien,Terence J.","University of Melbourne, Melbourne, VIC, Australia"
133,"Odoi,Clarissa","King's College London, London, UK"
134,"Panichev,Oleg","Kyiv, Ukraine"
135,"Pardo,Juan","CEU Cardenal Herrera University, Valencia, Spain"
136,"Patterson,Edward E.","University of Minnesota, St. Paul, MN, USA"
137,"Payne,Daniel E.","University of Melbourne, Melbourne, VIC, Australia"
138,"Peyrodie,L.","Laboratoire d''Automatique Hautes Etudes Industrielles Lille, France"
139,"Posdziech,F.","University of Freiburg, Freiburg, Germany"
140,"Privitera,Michael","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
141,"Proix,Timothee","Brown University, Providence, Rhode Island, USA"
142,"Rakers,Florian","Jena University Hospital, Jena, Germany"
143,"Ranjan,Yatharth","King's College London, London, UK"
144,"Rao,Vikram R.","University of California (SF), CA, USA"
145,"Rasche,Marius","Jena University Hospital, Jena, Germany"
146,"Rashid,Zulqarnain","King's College London, London, UK"
147,"Raza,Muhammad Liaquat","Hamdard University, Karachi, Pakistan"
148,"Reuben,Chip","Redondo Beach, CA, USA"
149,"Richardson,Mark P.","King's College London, London, UK"
150,"Ringo,S. G.","Epi-Minder Pty. Ltd., Melbourne, VIC, Australia"
151,"Roman,Kelly","Arete Associates, VA, USA"
152,"Romero,Juan","Beth Israel Deaconess Medical Center, Boston, MA"
153,"Ruedebusch,Vanessa","NeuroVista, Seattle, WA, USA"
154,"Rupprecht,Sven","Jena University Hospital, Jena, Germany"
155,"Sales,Francisco","University of Coimbra, Coimbra, Portugal"
156,"Sammaritano,Michele","Hôpital Notre Dame, Montreal, Quebec, Canada"
157,"Schelle,Annette","University of Coimbra, Coimbra, Portugal"
158,"Schelter,Bjorn","University of Freiburg, Freiburg, Germany"
159,"Schiff,Steven J.","Pennsylvania State University, University Park, PA, USA"
160,"Schiffner,Rene","Jena University Hospital, Jena, Germany"
161,"Schlattmann,Peter","Jena University Hospital, Jena, Germany"
162,"Schubach,Sarah","Boston Children’s Hospital, Boston, MA, USA"
163,"Schulze-Bonhage,Andreas","University of Freiburg, Freiburg, Germany"
164,"Schwab,Matthias","Jena University Hospital, Jena, Germany"
165,"Seiderer,L.","St. Vincent's Hospital, Melbourne, VIC, Australia"
166,"Seneviratne,U.","University of Melbourne, Melbourne, VIC, Australia"
167,"Sheffield,W. Douglas","NeuroVista, Seattle, WA, USA"
168,"Shinnar,Shlomo","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
169,"Shouse,Margaret N.","UCLA School of Medicine, Los Angeles, CA, USA"
170,"Simblett,Sara","King's College London, London, UK"
171,"Sladky,Vladimir","Mayo Clinic, Rochester, MN, USA"
172,"Snyder,David","NeuroVista, Seattle, WA, USA"
173,"Stead,S. Matt","Mayo Clinic, Rochester, MN, USA"
174,"Stern,John M.","University of California (LA), LA, CA"
175,"Stewart,Callum L.","King's College London, London, UK"
176,"Stirling,Rachel E.","University of Melbourne, Melbourne, VIC, Australia"
177,"Sturges,Beverly","University of California (Davis), CA, USA"
178,"Sun,Haoqi","Harvard Medical School, Boston, Massachusetts, USA"
179,"Tang,Qingnan","National University of Singapore, Singapore"
180,"Taylor,Janelle","Seer Medical, Melbourne, VIC, Australia"
181,"Tcheng,Thomas K","NeuroPace, Inc., Mountain View, CA, USA"
182,"Temkin,Nancy R.","University of Washington, Seattle, WA, USA"
183,"Temko,Andriy","University College Cork, Cork, Ireland"
184,"Tennen,Howard","University of Connecticut School of Medicine, Farmington, CT, USA"
185,"Teotonio,Rute","University of Coimbra, Coimbra, Portugal"
186,"Theodore,William H.","National Institutes of Health (NIH), Bethesda, MD"
187,"Tieng,Quang M.","University of Queensland, Qld, Australia"
188,"Timmer,Jens","University of Freiburg, Freiburg, Germany"
189,"Titericz,Gilberto","California, USA"
190,"Truccolo,Wilson","Brown University, Providence, Rhode Island, USA"
191,"Ufongene,Claire","Boston Children’s Hospital, Boston, MA, USA"
192,"Ung,Hoameng","University of Pennsylvania, PA, USA"
193,"Vannucci,Marina","Rice University, Houston, TX"
194,"Varatharajah,Yogatheesan","Mayo Clinic, Rochester, MN, USA"
195,"Vasoli,Vincent M.","Mayo Clinic, Rochester, MN, USA"
196,"Viana,Pedro F.","King's College London, London, UK"
197,"Vite,Charles H.","University of Pennsylvania, PA, USA"
198,"Voss,H. U.","University of Freiburg, Freiburg, Germany"
199,"Vouyiouklis,Mary","Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY"
200,"Wagenaar,JooSt. B.","University of Pennsylvania, PA, USA"
201,"Wagner,Kathrin","University of Freiburg, Freiburg, Germany"
202,"Walther,Mario","Jena University Hospital, Jena, Germany"
203,"Wendling,Fabrice","INSERM, Rennes, France"
204,"Westover,Brandon","Seizure Tracker TM LLC, Annandale, VA, USA"
205,"Winterhalder,M.","University of Freiburg, Freiburg, Germany"
206,"Witte,Otto W.","Jena University Hospital, Jena, Germany"
207,"Worrell,Gregory A.","Mayo Clinic, Rochester, MN, USA"
208,"Wu,Wei","New York, NY, USA"
209,"Wykes,Til","King's College London, London, UK"
210,"Xiong,Wenjuan","Swinburne University of Technology, VIC, Australia"
211,"Yerra,Raju","Royal Melbourne Hospital, Melbourne, VIC, Australia"
212,"Zaidi,Syed Sajjad Haider","Electronics & Power Engineering, Pakistan"
213,"Zamora-Martinez,Francisco","CEU Cardenal Herrera University, Valencia, Spain"
214,"de Weerd,Al Wytze","Department of Clinical Neurophysiology and Sleep Centre SEIN Zwolle, The Netherlands"
